iter	Logloss
0	0.6878157844
1	0.6818336089
2	0.6756193544
3	0.6698004822
4	0.6639948998
5	0.6584550786
6	0.6533904029
7	0.6478546795
8	0.6434823643
9	0.6393621849
10	0.6344514051
11	0.6300787319
12	0.6253371595
13	0.6215970986
14	0.6173728354
15	0.6145753826
16	0.6106326023
17	0.6070318764
18	0.6038320225
19	0.6011269616
20	0.5987267264
21	0.5958806516
22	0.5932423985
23	0.5905018593
24	0.5881365217
25	0.5848912542
26	0.582118132
27	0.5797352568
28	0.5773164856
29	0.5748203042
30	0.5729855172
31	0.5709448904
32	0.5690773681
33	0.5668620875
34	0.5647568446
35	0.5629809886
36	0.5609447007
37	0.5593000447
38	0.5580455062
39	0.5562232469
40	0.5551407429
41	0.5534781761
42	0.5519956421
43	0.5504962008
44	0.5487895629
45	0.547611434
46	0.5462447691
47	0.5447149729
48	0.5434560476
49	0.541794708
50	0.5404680828
51	0.5391925673
52	0.5379960289
53	0.536892578
54	0.5352594339
55	0.53419658
56	0.533099706
57	0.5323565827
58	0.5313909954
59	0.530550712
60	0.5298022104
61	0.5283112716
62	0.527410145
63	0.526522202
64	0.5256534711
65	0.5245355511
66	0.5235704894
67	0.5222612521
68	0.5211124632
69	0.5204499488
70	0.5197335144
71	0.5190453484
72	0.5183215265
73	0.5172725794
74	0.5165347264
75	0.5159346759
76	0.5151473539
77	0.5145373175
78	0.513547508
79	0.5128363145
80	0.5121519245
81	0.5116364379
82	0.5110077647
83	0.5103501887
84	0.5096907532
85	0.5090129767
86	0.5082503204
87	0.5075615032
88	0.507032227
89	0.5065111664
90	0.5060485409
91	0.5055437065
92	0.5047903737
93	0.5043326335
94	0.5036101219
95	0.5032228913
96	0.5026397453
97	0.5020556009
98	0.5015850158
99	0.5010308143
100	0.5006234033
101	0.4999897139
102	0.4992982207
103	0.4986674901
104	0.4982645003
105	0.4977279196
106	0.4972316048
107	0.4967412774
108	0.4961453725
109	0.4957043298
110	0.4953374769
111	0.4950254852
112	0.4946131087
113	0.4941474509
114	0.4937527917
115	0.4933651527
116	0.4929447054
117	0.4923742546
118	0.492021131
119	0.4915571726
120	0.4911832509
121	0.4907339669
122	0.4902540467
123	0.4899125184
124	0.4895597393
125	0.489111228
126	0.4887662023
127	0.4884410781
128	0.4881792197
129	0.4875993452
130	0.4872671568
131	0.4869215894
132	0.4865689467
133	0.4861659375
134	0.4858233776
135	0.4855404827
136	0.4851365137
137	0.4846869063
138	0.4841511156
139	0.483884562
140	0.4835585145
141	0.4833799871
142	0.483106116
143	0.4826773815
144	0.4823735439
145	0.4821280628
146	0.4819011688
147	0.4815718091
148	0.4812895539
149	0.4809694365
150	0.4806841276
151	0.4803265003
152	0.480041541
153	0.4797924729
154	0.4794989434
155	0.4792238134
156	0.4789001605
157	0.4786056285
158	0.4784357868
159	0.4779957093
160	0.4776560058
161	0.4773951373
162	0.477136291
163	0.4769154879
164	0.4766004842
165	0.4763268664
166	0.4760672998
167	0.47584292
168	0.4756393532
169	0.4753768843
170	0.4751746841
171	0.4749296432
172	0.4746774779
173	0.4745279249
174	0.4741595148
175	0.4739354609
176	0.4737033881
177	0.4734645303
178	0.4732569566
179	0.4730415616
180	0.4728186576
181	0.4726555545
182	0.4722664164
183	0.4720313701
184	0.4716074738
185	0.4713181315
186	0.4709918288
187	0.4706542753
188	0.4704634122
189	0.4701150595
190	0.4697659156
191	0.4695008123
192	0.4694038971
193	0.4691227275
194	0.4689060206
195	0.468697665
196	0.4684446925
197	0.4682503821
198	0.4681372941
199	0.4679015472
200	0.4675783667
201	0.4673479262
202	0.4670246109
203	0.4668140507
204	0.4666754171
205	0.4664184654
206	0.4661407937
207	0.4659529934
208	0.4656713594
209	0.465508142
210	0.4652474237
211	0.4649732606
212	0.4647456144
213	0.4645788324
214	0.4644416393
215	0.4641965562
216	0.4640617512
217	0.463758349
218	0.4634218363
219	0.463111842
220	0.4627734964
221	0.462605623
222	0.4623287148
223	0.4621175592
224	0.4618758212
225	0.4617363443
226	0.4616328801
227	0.4614492953
228	0.4610579561
229	0.4608579931
230	0.4606349167
231	0.4604664766
232	0.4600971909
233	0.4598220146
234	0.4595814058
235	0.4593575041
236	0.4591448289
237	0.4588674165
238	0.4586773841
239	0.4585967897
240	0.4583146778
241	0.4580976929
242	0.4579027635
243	0.4576754418
244	0.457487511
245	0.4572477649
246	0.4571407031
247	0.4569644182
248	0.4567913322
249	0.4567148704
250	0.4565669425
251	0.4563215058
252	0.456086745
253	0.4559111546
254	0.455659529
255	0.4554837363
256	0.4553086991
257	0.455028546
258	0.4548407773
259	0.4546811461
260	0.4545704078
261	0.4544618534
262	0.4542715535
263	0.4541393261
264	0.4538819497
265	0.4536256636
266	0.4534589641
267	0.4533209955
268	0.4530394317
269	0.4528615737
270	0.4526093224
271	0.4523410107
272	0.4521765179
273	0.4520388224
274	0.4518572878
275	0.4516452044
276	0.4514313105
277	0.4512701059
278	0.4510640062
279	0.4509608844
280	0.4506794756
281	0.4504903765
282	0.4503322898
283	0.4502171372
284	0.450206711
285	0.4500452731
286	0.4498485068
287	0.4496835819
288	0.4492959589
289	0.4491046048
290	0.4488704755
291	0.4487113506
292	0.4485602291
293	0.4483592451
294	0.4481600642
295	0.4480098591
296	0.4478601364
297	0.4476573777
298	0.4473571645
299	0.4470234458
300	0.4467781058
301	0.4465018195
302	0.4463676291
303	0.4461964613
304	0.4460261107
305	0.4457432271
306	0.4456165822
307	0.4453526444
